항목,건수,비율
일반·미분류,1998,0.1352
연구원,1402,0.0949
생산관리,1242,0.0841
B2B 영업,1145,0.0775
전기·전자·반도체,1135,0.0768
총무,1119,0.0757
공공행정,808,0.0547
브랜드 마케팅,651,0.0441
금융일반,593,0.0401
기획,547,0.0370
백엔드 개발,545,0.0369
건축·토목,398,0.0269
B2C 영업,398,0.0269
기계·항공,340,0.0230
인사,278,0.0188
품질관리,271,0.0183
SCM·물류,242,0.0164
클라우드·인프라,239,0.0162
재무·회계,215,0.0146
안전·환경,186,0.0126
장비 엔지니어,174,0.0118
데이터 분석,139,0.0094
구매,96,0.0065
AI·머신러닝,84,0.0057
디지털 마케팅,82,0.0056
고객지원,81,0.0055
매장·현장 서비스,55,0.0037
콘텐츠 제작,54,0.0037
간호,46,0.0031
보안,35,0.0024
콘텐츠 마케팅,31,0.0021
항공·운송 서비스,29,0.0020
프론트엔드 개발,24,0.0016
법무,22,0.0015
UI/UX 디자인,18,0.0012
게임 개발,17,0.0012
그래픽 디자인,11,0.0007
영상 디자인,10,0.0007
모바일 개발,9,0.0006
강의·교수,3,0.0002
데이터 엔지니어링,2,0.0001
