항목,건수,비율
2015 하반기,1733,0.1173
2016 하반기,1368,0.0926
2020 하반기,1181,0.0799
2017 상반기,1035,0.0701
2018 하반기,928,0.0628
2021 상반기,867,0.0587
2018 상반기,809,0.0548
2020 상반기,655,0.0443
2017 하반기,638,0.0432
2022 하반기,581,0.0393
2019 상반기,517,0.0350
2022 상반기,510,0.0345
2024 하반기,497,0.0336
2024 상반기,496,0.0336
2019 하반기,482,0.0326
2023 상반기,471,0.0319
2021 하반기,457,0.0309
2016 상반기,426,0.0288
2023 하반기,407,0.0275
2025 상반기,325,0.0220
2025 하반기,193,0.0131
2015 상반기,124,0.0084
2026 상반기,33,0.0022
2014 하반기,23,0.0016
2014 상반기,9,0.0006
2013 상반기,4,0.0003
1970 하반기,3,0.0002
2013 하반기,2,0.0001
