기간,회사,스펙,학교_원문,학교_분류,학과_원문,학과_계열,자격증,기타자격증,인턴,기타
2025 하반기,LG생활건강,"연세대 / 경제학과 / 학점 3.5/4.5 / 오픽: AL, 기타: TOEFL + 94점 / 마케팅 인턴 2회(헤세드릿지, 업템포글로벌) / EIC 비즈니스 경진모델 대회, 9개 팀 중 최종 3위 / 한국사검정시험: 초급, 컴퓨터활용능력: 2급",연세대,Top5,경제학과,경영경제,"OPIc AL, TOEFL 94","한국사검정시험: 초급, 컴퓨터활용능력: 2급","마케팅 인턴 2회(헤세드릿지, 업템포글로벌)","EIC 비즈니스 경진모델 대회, 9개 팀 중 최종 3위"
2025 하반기,IBK기업은행,"숙명여대 / 경영학부 / 학점 4.03/4.5 / 한국사검정시험: 고급, 기타: 투자자산운용사, ADsP",숙명여대,인서울,경영학부,경영경제,,"한국사검정시험: 고급, 기타: 투자자산운용사, ADsP",,
2024 상반기,어플라이드 머티리얼즈,"명지대학교 / 전기공학과 / 학점 4.15/4.5 / 토익: 835, 토익스피킹: 180/레벨7 / 한국사검정시험: 고급",명지대학교,인서울,전기공학과,공학,"TOEIC 835, 토익스피킹 180/레벨7",한국사검정시험: 고급,,
2024 상반기,아모레퍼시픽,인가경 / 러시아어문학 / 학점 3.79/4.5 / 오픽: IH / 사회생활 경험: 인턴1회,인가경,기타,러시아어문학,인문어문,OPIc IH,,사회생활 경험: 인턴1회,
2025 하반기,포스코,"동국대 / 광고홍보학과 / 학점 3.97 / 토익 950, 오픽 IH / 인턴 6개월 2회 / 서포터즈 1회 활동 / 컴퓨터활용능력: 1급",동국대,인서울,광고홍보학과,사회과학,"TOEIC 950, OPIc IH",컴퓨터활용능력: 1급,인턴 6개월 2회,서포터즈 1회 활동
2026 상반기,카카오엔터테인먼트,"경기대 / 산업경영공학과 / 학점 3.22 / 수원문화재단 계약직, 카카오엔터테인먼트 어시스턴트 / 데이터분석준전문가, 사회조사분석사 2급, GTQ 1급",경기대,지방대,산업경영공학과,경영경제,,"데이터분석준전문가, 사회조사분석사 2급, GTQ 1급",,"수원문화재단 계약직, 카카오엔터테인먼트 어시스턴트"
2026 상반기,삼성디스플레이,"순천향대학교 / 전기공학과 / 학점 4.19 / 오픽: IM2 / 미국인턴 1년 / 사기업 서포터즈 1개, 공기업 서포터즈 1개 ,진로동아리, 학생회 및 과대표, 교외 은상 수상",순천향대학교,지방대,전기공학과,공학,OPIc IM2,,미국인턴 1년,"사기업 서포터즈 1개, 공기업 서포터즈 1개 ,진로동아리, 학생회 및 과대표, 교외 은상 수상"
2026 상반기,현대자동차,"국민대 / 신소재 / 학점 3.88/4.5 / 토익스피킹: 150/레벨 5 / 직무혁신성과팀공모전 금상, 캡스톤디자인 아이디어공모전 동상, 학습공동체 성과물 공모전 최우수상, 반도체공정실습 / 기타: Microsoft Certified: AI Engineering Fundamentals",국민대,인서울,신소재,공학,토익스피킹 150/레벨 5,기타: Microsoft Certified: AI Engineering Fundamentals,,"직무혁신성과팀공모전 금상, 캡스톤디자인 아이디어공모전 동상, 학습공동체 성과물 공모전 최우수상, 반도체공정실습"
2025 상반기,어플라이드머티어리얼즈코리아,"단국대 / 전자전기공학부 융합반도체공학전공 / 학점 4.13 / 오픽 IH, JLPT N2 / 일본계 반도체 장비사 1개월 인턴 / 해외연수 3회, 반도체 공정실습, 학생 포트폴리오 대회 다수 1등, 교육봉사 1년, 반도체 교육 다수 수강 / 운전면허2종보통",단국대,지방대,전자전기공학부 융합반도체공학전공,공학,"OPIc IH, JLPT N2",운전면허2종보통,일본계 반도체 장비사 1개월 인턴,"해외연수 3회, 반도체 공정실습, 학생 포트폴리오 대회 다수 1등, 교육봉사 1년, 반도체 교육 다수 수강"
2024 하반기,현대자동차,"고려대 / 미디어학부 / 학점 4.08/4.5 / 토익스피킹: 170/AL, 오픽: ih / 사회생활 경험: 스타트업 마케팅 인턴 1회, 광고대행사 인턴 2회 / 마케팅 학회, 공모전 1위 / 컴퓨터활용능력: 1급, 기타: SQLD, 매경TEST 우수",고려대,Top5,미디어학부,사회과학,"OPIc ih, 토익스피킹 170/AL, 미디어학부","컴퓨터활용능력: 1급, 기타: SQLD, 매경TEST 우수","사회생활 경험: 스타트업 마케팅 인턴 1회, 광고대행사 인턴 2회","마케팅 학회, 공모전 1위"
