원본행,기간,회사,직무,zeroshot_input,직무_대분류,직무_중분류,직무_소분류,분류확신도,검토메모,링크
2,2025 하반기,LG생활건강,화장품 브랜드마케팅,"회사: LG생활건강 | 직무: 화장품 브랜드마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",상,,https://linkareer.com/cover-letter/36158?page=1&sort=RECENT_SCRAP_COUNT&tab=all
3,2025 하반기,IBK기업은행,청년인턴_금융일반,"회사: IBK기업은행 | 직무: 청년인턴_금융일반 | 유형: 인턴, 은행권",금융,금융일반,"은행, 증권, 보험, 카드, 여신",상,,https://linkareer.com/cover-letter/36193?page=1&sort=RECENT_SCRAP_COUNT&tab=all
4,2024 상반기,어플라이드 머티리얼즈,반도체 장비 엔지니어(Customer Engineer),"회사: 어플라이드 머티리얼즈 | 직무: 반도체 장비 엔지니어(Customer Engineer) | 유형: 중견기업, 신입",엔지니어링,장비 엔지니어,"Customer Engineer, Field Engineer",상,,https://linkareer.com/cover-letter/33648?page=1&sort=RECENT_SCRAP_COUNT&tab=all
5,2024 상반기,아모레퍼시픽,콘텐츠마케팅,"회사: 아모레퍼시픽 | 직무: 콘텐츠마케팅 | 유형: 신입, 대기업",마케팅·광고,콘텐츠 마케팅,"블로그, 유튜브, 카피라이팅",중,,https://linkareer.com/cover-letter/33426?page=1&sort=RECENT_SCRAP_COUNT&tab=all
6,2025 하반기,포스코,마케팅,"회사: 포스코 | 직무: 마케팅 | 유형: 대기업, 신입",마케팅·광고,브랜드 마케팅,"브랜드 전략, 캠페인",중,,https://linkareer.com/cover-letter/36231?page=1&sort=RECENT_SCRAP_COUNT&tab=all
7,2026 상반기,카카오엔터테인먼트,티켓팅 기획/운영,"회사: 카카오엔터테인먼트 | 직무: 티켓팅 기획/운영 | 유형: 신입, 대기업",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/35660?page=1&sort=RECENT_SCRAP_COUNT&tab=all
8,2026 상반기,삼성디스플레이,연구개발,"회사: 삼성디스플레이 | 직무: 연구개발 | 유형: 인턴, 대기업",연구개발,연구원,신기술 연구,상,,https://linkareer.com/cover-letter/36478?page=1&sort=RECENT_SCRAP_COUNT&tab=all
9,2026 상반기,현대자동차,생산기술(남양연구소),"회사: 현대자동차 | 직무: 생산기술(남양연구소) | 유형: 신입, 대기업",생산·품질,생산관리,제조 운영,상,,https://linkareer.com/cover-letter/36581?page=1&sort=RECENT_SCRAP_COUNT&tab=all
10,2025 상반기,어플라이드머티어리얼즈코리아,반도체 엔지니어,"회사: 어플라이드머티어리얼즈코리아 | 직무: 반도체 엔지니어 | 유형: 인턴, 중견기업",연구개발,전기·전자·반도체,"전기, 전자, 반도체, 회로, 소자",중,,https://linkareer.com/cover-letter/36407?page=1&sort=RECENT_SCRAP_COUNT&tab=all
11,2024 하반기,현대자동차,사업/기획_국내사업_국내 판매,"회사: 현대자동차 | 직무: 사업/기획_국내사업_국내 판매 | 유형: 대기업, 신입",경영·사무,기획,"사업기획, 전략기획",중,,https://linkareer.com/cover-letter/33958?page=1&sort=RECENT_SCRAP_COUNT&tab=all
12,2025 하반기,현대자동차,국내사업(지역 비즈니스),"회사: 현대자동차 | 직무: 국내사업(지역 비즈니스) | 유형: 대기업, 신입",기타,일반·미분류,"일반직, 인턴, 직무 미상",하,키워드 미매칭,https://linkareer.com/cover-letter/36367?page=1&sort=RECENT_SCRAP_COUNT&tab=all
13,2025 하반기,BC카드,Biz(일반),"회사: BC카드 | 직무: Biz(일반) | 유형: 신입, 대기업",IT·개발,데이터 분석,"데이터 분석가, BI, 통계 분석",중,,https://linkareer.com/cover-letter/35951?page=1&sort=RECENT_SCRAP_COUNT&tab=all
